sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4988;pms5003;3627;6.515;3.400;2026-06-01T09:52:07+00:00;P0;8
4989;DHT22;3627;6.515;3.400;2026-06-01T09:52:09+00:00;humidity;70.4
4989;DHT22;3627;6.515;3.400;2026-06-01T09:52:09+00:00;temperature;35.4
4988;pms5003;3627;6.515;3.400;2026-06-01T09:59:05+00:00;P2;14
4988;pms5003;3627;6.515;3.400;2026-06-01T09:59:05+00:00;P1;15
4988;pms5003;3627;6.515;3.400;2026-06-01T09:59:05+00:00;P0;10
4989;DHT22;3627;6.515;3.400;2026-06-01T09:59:09+00:00;humidity;70.8
4989;DHT22;3627;6.515;3.400;2026-06-01T09:59:09+00:00;temperature;35.2
4988;pms5003;3627;6.515;3.400;2026-06-01T10:04:43+00:00;P2;19
4988;pms5003;3627;6.515;3.400;2026-06-01T10:04:43+00:00;P1;20
4988;pms5003;3627;6.515;3.400;2026-06-01T10:04:43+00:00;P0;14
4989;DHT22;3627;6.515;3.400;2026-06-01T10:04:45+00:00;humidity;71.4
4989;DHT22;3627;6.515;3.400;2026-06-01T10:04:45+00:00;temperature;35
4988;pms5003;3627;6.515;3.400;2026-06-01T10:10:20+00:00;P2;29
4988;pms5003;3627;6.515;3.400;2026-06-01T10:10:20+00:00;P1;35
4988;pms5003;3627;6.515;3.400;2026-06-01T10:10:20+00:00;P0;17
4989;DHT22;3627;6.515;3.400;2026-06-01T10:10:22+00:00;humidity;71.2
4989;DHT22;3627;6.515;3.400;2026-06-01T10:10:22+00:00;temperature;35.1
4988;pms5003;3627;6.515;3.400;2026-06-01T10:15:56+00:00;P2;36
4988;pms5003;3627;6.515;3.400;2026-06-01T10:15:56+00:00;P1;42
4988;pms5003;3627;6.515;3.400;2026-06-01T10:15:56+00:00;P0;23
4989;DHT22;3627;6.515;3.400;2026-06-01T10:15:58+00:00;humidity;72.3
4989;DHT22;3627;6.515;3.400;2026-06-01T10:15:58+00:00;temperature;34.5
4988;pms5003;3627;6.515;3.400;2026-06-01T10:21:33+00:00;P2;29
4988;pms5003;3627;6.515;3.400;2026-06-01T10:21:33+00:00;P1;32
4988;pms5003;3627;6.515;3.400;2026-06-01T10:21:33+00:00;P0;18
4989;DHT22;3627;6.515;3.400;2026-06-01T10:21:35+00:00;humidity;75.2
4989;DHT22;3627;6.515;3.400;2026-06-01T10:21:35+00:00;temperature;33.7
4988;pms5003;3627;6.515;3.400;2026-06-01T10:27:10+00:00;P2;27
4988;pms5003;3627;6.515;3.400;2026-06-01T10:27:10+00:00;P1;28
4988;pms5003;3627;6.515;3.400;2026-06-01T10:27:10+00:00;P0;16
4989;DHT22;3627;6.515;3.400;2026-06-01T10:27:12+00:00;humidity;78.3
4989;DHT22;3627;6.515;3.400;2026-06-01T10:27:12+00:00;temperature;33
4988;pms5003;3627;6.515;3.400;2026-06-01T10:34:06+00:00;P2;40
4988;pms5003;3627;6.515;3.400;2026-06-01T10:34:06+00:00;P1;48
4988;pms5003;3627;6.515;3.400;2026-06-01T10:34:06+00:00;P0;26
4989;DHT22;3627;6.515;3.400;2026-06-01T10:34:08+00:00;humidity;79
4989;DHT22;3627;6.515;3.400;2026-06-01T10:34:08+00:00;temperature;32.8
4988;pms5003;3627;6.515;3.400;2026-06-01T10:39:43+00:00;P2;41
4988;pms5003;3627;6.515;3.400;2026-06-01T10:39:43+00:00;P1;48
4988;pms5003;3627;6.515;3.400;2026-06-01T10:39:43+00:00;P0;26
4989;DHT22;3627;6.515;3.400;2026-06-01T10:39:45+00:00;humidity;78.3
4989;DHT22;3627;6.515;3.400;2026-06-01T10:39:45+00:00;temperature;33.3
4988;pms5003;3627;6.515;3.400;2026-06-01T10:45:19+00:00;P2;15
4988;pms5003;3627;6.515;3.400;2026-06-01T10:45:19+00:00;P1;16
4988;pms5003;3627;6.515;3.400;2026-06-01T10:45:19+00:00;P0;10
4989;DHT22;3627;6.515;3.400;2026-06-01T10:45:21+00:00;humidity;76.6
4989;DHT22;3627;6.515;3.400;2026-06-01T10:45:21+00:00;temperature;34.2
4988;pms5003;3627;6.515;3.400;2026-06-01T10:50:56+00:00;P2;16
4988;pms5003;3627;6.515;3.400;2026-06-01T10:50:56+00:00;P1;17
4988;pms5003;3627;6.515;3.400;2026-06-01T10:50:56+00:00;P0;11
4989;DHT22;3627;6.515;3.400;2026-06-01T10:50:58+00:00;humidity;73.9
